,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
58,Volkswagen,ID.3 Pro Performance,58.0,470.0,Type 2 CCS,7.3,160,350,166,43995.0,45990.0
59,Volkswagen,ID.4 Pro Performance,77.0,520.0,Type 2 CCS,8.5,160,410,188,46335.0,51940.0
60,Hyundai,IONIQ 6 Standard Range 2WD,54.0,880.0,Type 2 CCS,8.8,185,360,150,43900.0,45895.0
61,CUPRA,Born 150 kW - 58 kWh,58.0,470.0,Type 2 CCS,7.3,160,350,166,39370.0,40990.0
62,Jeep,Avenger Electric ,50.8,480.0,Type 2 CCS,9.0,150,300,169,37000.0,37000.0
63,Tesla,Model X Plaid,95.0,630.0,Type 2 CCS,2.6,262,455,209,140990.0,144993.0
64,Kia,EV6 Long Range AWD,74.0,1050.0,Type 2 CCS,5.2,185,400,185,55980.0,59995.0
65,Mercedes,EQB 350 4MATIC,66.5,480.0,Type 2 CCS,6.2,160,335,199,58197.0,68266.0
66,Citroen,e-C4 X ,45.0,420.0,Type 2 CCS,9.7,150,265,170,37540.0,40840.0
67,Rolls-Royce,Spectre ,100.0,540.0,Type 2 CCS,4.5,250,455,220,400000.0,400000.0
68,Volvo,XC40 Recharge Twin Motor,78.0,590.0,Type 2 CCS,4.9,180,380,205,59950.0,58495.0
69,Audi,Q8 e-tron Sportback 55 quattro,106.0,710.0,Type 2 CCS,5.6,200,525,202,87550.0,85385.0
70,Porsche,Taycan Turbo S,83.7,980.0,Type 2 CCS,2.8,260,400,209,189668.0,196900.0
71,Subaru,Solterra AWD,64.0,480.0,Type 2 CCS,6.9,160,320,200,57490.0,56395.0
72,Opel,Astra Electric,50.8,500.0,Type 2 CCS,8.5,170,310,164,40000.0,40000.0
73,Mercedes,EQE 300,89.0,650.0,Type 2 CCS,7.6,210,515,173,66402.0,71138.0
74,CUPRA,Born 170 kW - 77 kWh,77.0,570.0,Type 2 CCS,7.0,160,450,171,46450.0,49990.0
75,Tesla,Model X Dual Motor,95.0,650.0,Type 2 CCS,3.9,250,470,202,120990.0,124993.0
76,Citroen,e-C4 ,45.0,420.0,Type 2 CCS,9.7,150,265,170,36040.0,40240.0
77,Volvo,XC40 Recharge Single Motor,67.0,500.0,Type 2 CCS,7.4,180,335,200,47500.0,47995.0
78,Peugeot,e-2008 SUV ,45.0,410.0,Type 2 CCS,8.5,150,255,176,37900.0,37530.0
79,Lotus,Eletre ,107.0,1090.0,Type 2 CCS,4.5,250,520,206,95990.0,98690.0
80,Renault,Twingo Electric,21.3,,Type 2,12.6,135,130,164,28000.0,23020.0
81,Audi,e-tron GT quattro,85.0,1030.0,Type 2 CCS,4.1,245,420,202,106050.0,108605.0
82,Hyundai,IONIQ 5 Long Range AWD,74.0,1010.0,Type 2 CCS,5.1,185,385,192,59200.0,58495.0
83,Polestar,2 Long Range Single Motor,78.0,680.0,Type 2 CCS,6.2,205,440,177,54475.0,55200.0
84,Mercedes,EQB 250,66.5,500.0,Type 2 CCS,8.9,160,345,193,52550.0,59917.0
85,Hyundai,IONIQ 5 Standard Range 2WD,54.0,720.0,Type 2 CCS,8.5,185,295,183,43900.0,46795.0
86,Audi,Q8 e-tron 50 quattro,89.0,580.0,Type 2 CCS,6.0,200,415,214,74400.0,71385.0
87,Fisker,Ocean Ultra,100.0,730.0,Type 2 CCS,4.2,200,505,198,57000.0,58000.0
88,Volkswagen,ID.5 Pro,77.0,540.0,Type 2 CCS,10.4,160,430,179,47935.0,52990.0
89,Volkswagen,ID.4 GTX,77.0,560.0,Type 2 CCS,6.3,180,400,193,53255.0,59790.0
90,Mazda,MX-30 ,30.0,210.0,Type 2 CCS,9.7,140,170,176,35990.0,34990.0
91,Fisker,Ocean Sport,75.0,480.0,Type 2 CCS,7.4,160,380,197,41560.0,42000.0
92,Dacia,Spring Electric 65 Extreme,25.0,170.0,Type 2 CCS,13.7,125,160,156,24550.0,23400.0
93,Polestar,3 Long Range Dual motor,107.0,640.0,Type 2 CCS,5.0,210,490,218,88600.0,89900.0
94,Audi,Q4 e-tron 35,52.0,360.0,Type 2 CCS,9.0,160,285,182,,51865.0
95,Mercedes,EQS SUV 580 4MATIC,108.4,630.0,Type 2 CCS,4.6,210,485,224,135434.0,167291.0
96,NIO,EL7 100 kWh,90.0,450.0,Type 2 CCS,3.9,200,430,209,94900.0,97900.0
97,Mercedes,EQE SUV 350+,90.6,700.0,Type 2 CCS,7.0,210,470,193,90000.0,91950.0
98,ORA,Funky Cat 63 kWh,59.3,240.0,Type 2 CCS,8.2,160,340,174,44490.0,
99,Opel,Mokka-e ,45.0,410.0,Type 2 CCS,9.2,150,255,176,37650.0,38499.0
100,Peugeot,e-308 ,51.0,460.0,Type 2 CCS,9.0,150,310,165,44000.0,44000.0
101,Nissan,Leaf e+,59.0,240.0,Type 2 CHAdeMO,6.9,157,340,174,41100.0,41890.0
102,Renault,Zoe ZE50 R135,52.0,230.0,Type 2 CCS,9.5,140,310,168,37840.0,36090.0
103,Volkswagen,ID.3 Pro S - 4 Seats,77.0,570.0,Type 2 CCS,7.9,160,450,171,56500.0,
104,Volkswagen,e-Up! ,32.3,170.0,Type 2 CCS,11.9,130,205,158,29995.0,
